"Appendix B. Developmental Education Coursetaking** by District, School and Year of High School Graduation",,,,,,,,The data used for Getting Prepared analyzed college enrollment data for high school students based on the student’s “Status End” code at a given point in time and is not comparable to graduation rate cohort data commonly used by the Minnesota Department of Education (MDE).,,,
,,,,,Enrolled within 2 Years of Graduation,,,Enrolled in Developmental Education within 2 Years,,,
Albany Public School District,ALBANY SENIOR HIGH,0745-01-060,2011,108,98,89,,10,9%,11%,
Albany Public School District,ALBANY SENIOR HIGH,0745-01-060,2012,100,79,66,,fewer than 10,,,
Albert Lea Public School District,ALBERT LEA AREA LEARNING CNTR.,0241-01-350,2006,43,10,fewer than 10,,fewer than 10,,,
Albert Lea Public School District,ALBERT LEA AREA LEARNING CNTR.,0241-01-350,2007,42,fewer than 10,fewer than 10,,fewer than 10,,,
Albert Lea Public School District,ALBERT LEA AREA LEARNING CNTR.,0241-01-350,2008,33,13,fewer than 10,,fewer than 10,,,
Albert Lea Public School District,ALBERT LEA AREA LEARNING CNTR.,0241-01-350,2009,46,22,16,,fewer than 10,,,
Albert Lea Public School District,ALBERT LEA AREA LEARNING CNTR.,0241-01-350,2010,38,fewer than 10,fewer than 10,,fewer than 10,,,
Albert Lea Public School District,ALBERT LEA AREA LEARNING CNTR.,0241-01-350,2011,26,fewer than 10,fewer than 10,,fewer than 10,,,
Albert Lea Public School District,ALBERT LEA AREA LEARNING CNTR.,0241-01-350,2012,22,fewer than 10,fewer than 10,,fewer than 10,,,
Albert Lea Public School District,ALBERT LEA SENIOR HIGH,0241-01-310,2006,243,198,150,,33,14%,22%,
Albert Lea Public School District,ALBERT LEA SENIOR HIGH,0241-01-310,2007,290,230,174,,43,15%,25%,
Albert Lea Public School District,ALBERT LEA SENIOR HIGH,0241-01-310,2008,228,190,139,,36,16%,26%,
Albert Lea Public School District,ALBERT LEA SENIOR HIGH,0241-01-310,2009,203,160,111,,27,13%,24%,
Albert Lea Public School District,ALBERT LEA SENIOR HIGH,0241-01-310,2010,237,198,140,,31,13%,22%,
Albert Lea Public School District,ALBERT LEA SENIOR HIGH,0241-01-310,2011,187,152,109,,34,18%,31%,
Albert Lea Public School District,ALBERT LEA SENIOR HIGH,0241-01-310,2012,166,127,81,,21,13%,26%,
Alden-Conger Public School District,ALDEN-CONGER SECONDARY,0242-01-001,2006,35,26,16,,fewer than 10,,,
Alden-Conger Public School District,ALDEN-CONGER SECONDARY,0242-01-001,2007,27,18,12,,fewer than 10,,,
Alden-Conger Public School District,ALDEN-CONGER SECONDARY,0242-01-001,2008,32,26,18,,fewer than 10,,,
Alden-Conger Public School District,ALDEN-CONGER SECONDARY,0242-01-001,2009,23,20,14,,fewer than 10,,,
Alden-Conger Public School District,ALDEN-CONGER SECONDARY,0242-01-001,2010,39,34,25,,fewer than 10,,,
Alden-Conger Public School District,ALDEN-CONGER SECONDARY,0242-01-001,2011,20,15,fewer than 10,,fewer than 10,,,
Alden-Conger Public School District,ALDEN-CONGER SECONDARY,0242-01-001,2012,22,15,fewer than 10,,fewer than 10,,,
Alexandria Public School District,JEFFERSON SENIOR HIGH,0206-01-320,2006,313,267,207,,29,9%,14%,
Alexandria Public School District,JEFFERSON SENIOR HIGH,0206-01-320,2007,329,266,185,,32,10%,17%,
Alexandria Public School District,JEFFERSON SENIOR HIGH,0206-01-320,2008,327,281,206,,40,12%,19%,
Alexandria Public School District,JEFFERSON SENIOR HIGH,0206-01-320,2009,292,257,175,,14,5%,8%,
Alexandria Public School District,JEFFERSON SENIOR HIGH,0206-01-320,2010,274,224,163,,20,7%,12%,
Alexandria Public School District,JEFFERSON SENIOR HIGH,0206-01-320,2011,275,227,169,,25,9%,15%,
Alexandria Public School District,JEFFERSON SENIOR HIGH,0206-01-320,2012,260,214,148,,21,8%,14%,
Annandale Public School District,ANNANDALE SENIOR HIGH,0876-01-003,2006,150,115,93,,28,19%,30%,
Annandale Public School District,ANNANDALE SENIOR HIGH,0876-01-003,2007,136,101,80,,12,9%,15%,
Annandale Public School District,ANNANDALE SENIOR HIGH,0876-01-003,2008,151,120,99,,14,9%,14%,
Annandale Public School District,ANNANDALE SENIOR HIGH,0876-01-003,2009,140,105,81,,15,11%,19%,
Annandale Public School District,ANNANDALE SENIOR HIGH,0876-01-003,2010,143,109,90,,16,11%,18%,
Annandale Public School District,ANNANDALE SENIOR HIGH,0876-01-003,2011,126,100,76,,17,13%,22%,
Annandale Public School District,ANNANDALE SENIOR HIGH,0876-01-003,2012,127,101,84,,17,13%,20%,
Anoka-Hennepin Public School District,ANDOVER DOWNTOWN CTR ALC,0011-01-435,2006,27,14,14,,fewer than 10,,,
Anoka-Hennepin Public School District,ANDOVER DOWNTOWN CTR ALC,0011-01-435,2007,37,11,11,,fewer than 10,,,
Anoka-Hennepin Public School District,ANDOVER DOWNTOWN CTR ALC,0011-01-435,2008,28,13,13,,fewer than 10,,,
Anoka-Hennepin Public School District,ANDOVER DOWNTOWN CTR ALC,0011-01-435,2009,29,fewer than 10,fewer than 10,,fewer than 10,,,
Anoka-Hennepin Public School District,ANDOVER DOWNTOWN CTR ALC,0011-01-435,2010,29,11,11,,fewer than 10,,,
Anoka-Hennepin Public School District,ANDOVER HIGH SCHOOL,0011-01-094,2006,350,292,223,,75,21%,34%,
Anoka-Hennepin Public School District,ANDOVER HIGH SCHOOL,0011-01-094,2007,333,300,231,,58,17%,25%,
Anoka-Hennepin Public School District,ANDOVER HIGH SCHOOL,0011-01-094,2008,331,293,221,,71,21%,32%,
Anoka-Hennepin Public School District,ANDOVER HIGH SCHOOL,0011-01-094,2009,382,341,276,,70,18%,25%,
Anoka-Hennepin Public School District,ANDOVER HIGH SCHOOL,0011-01-094,2010,376,341,253,,64,17%,25%,
Anoka-Hennepin Public School District,ANDOVER HIGH SCHOOL,0011-01-094,2011,362,328,241,,60,17%,25%,
Anoka-Hennepin Public School District,ANDOVER HIGH SCHOOL,0011-01-094,2012,372,325,224,,34,9%,15%,
Anoka-Hennepin Public School District,ANOKA HIGH SCHOOL,0011-01-001,2006,475,401,291,,92,19%,32%,
Anoka-Hennepin Public School District,ANOKA HIGH SCHOOL,0011-01-001,2007,483,385,306,,91,19%,30%,
Anoka-Hennepin Public School District,ANOKA HIGH SCHOOL,0011-01-001,2008,533,432,331,,113,21%,34%,
Anoka-Hennepin Public School District,ANOKA HIGH SCHOOL,0011-01-001,2009,524,444,338,,102,19%,30%,
Anoka-Hennepin Public School District,ANOKA HIGH SCHOOL,0011-01-001,2010,498,421,331,,96,19%,29%,
Anoka-Hennepin Public School District,ANOKA HIGH SCHOOL,0011-01-001,2011,517,437,323,,79,15%,24%,
Anoka-Hennepin Public School District,ANOKA HIGH SCHOOL,0011-01-001,2012,477,398,312,,63,13%,20%,
Anoka-Hennepin Public School District,BLAINE HIGH SCHOOL,0011-01-091,2006,530,442,353,,131,25%,37%,
Anoka-Hennepin Public School District,BLAINE HIGH SCHOOL,0011-01-091,2007,557,461,365,,128,23%,35%,
Anoka-Hennepin Public School District,BLAINE HIGH SCHOOL,0011-01-091,2008,573,482,382,,134,23%,35%,
Anoka-Hennepin Public School District,BLAINE HIGH SCHOOL,0011-01-091,2009,534,449,354,,118,22%,33%,
Anoka-Hennepin Public School District,BLAINE HIGH SCHOOL,0011-01-091,2010,560,475,365,,115,21%,32%,
Anoka-Hennepin Public School District,BLAINE HIGH SCHOOL,0011-01-091,2011,599,504,396,,111,19%,28%,
Anoka-Hennepin Public School District,BLAINE HIGH SCHOOL,0011-01-091,2012,559,468,362,,85,15%,23%,
Anoka-Hennepin Public School District,BRIDGES ALTERNATIVE PROGRAM,0011-01-436,2006,19,fewer than 10,fewer than 10,,fewer than 10,,,
Anoka-Hennepin Public School District,BRIDGES ALTERNATIVE PROGRAM,0011-01-436,2007,18,fewer than 10,fewer than 10,,fewer than 10,,,
Anoka-Hennepin Public School District,BRIDGES ALTERNATIVE PROGRAM,0011-01-436,2008,16,fewer than 10,fewer than 10,,fewer than 10,,,
Anoka-Hennepin Public School District,BRIDGES ALTERNATIVE PROGRAM,0011-01-436,2009,30,fewer than 10,fewer than 10,,fewer than 10,,,
Anoka-Hennepin Public School District,BRIDGES ALTERNATIVE PROGRAM,0011-01-436,2010,34,fewer than 10,fewer than 10,,fewer than 10,,,
Anoka-Hennepin Public School District,BRIDGES ALTERNATIVE PROGRAM,0011-01-436,2011,28,fewer than 10,fewer than 10,,fewer than 10,,,
Anoka-Hennepin Public School District,BRIDGES ALTERNATIVE PROGRAM,0011-01-436,2012,31,fewer than 10,fewer than 10,,fewer than 10,,,
Anoka-Hennepin Public School District,CHAMPLIN PARK HIGH SCHOOL,0011-01-192,2006,594,511,409,,123,21%,30%,
Anoka-Hennepin Public School District,CHAMPLIN PARK HIGH SCHOOL,0011-01-192,2007,614,539,435,,146,24%,34%,
Anoka-Hennepin Public School District,CHAMPLIN PARK HIGH SCHOOL,0011-01-192,2008,656,585,446,,160,24%,36%,
Anoka-Hennepin Public School District,CHAMPLIN PARK HIGH SCHOOL,0011-01-192,2009,676,602,458,,165,24%,36%,
Anoka-Hennepin Public School District,CHAMPLIN PARK HIGH SCHOOL,0011-01-192,2010,649,575,440,,141,22%,32%,
Anoka-Hennepin Public School District,CHAMPLIN PARK HIGH SCHOOL,0011-01-192,2011,630,557,434,,148,23%,34%,
Anoka-Hennepin Public School District,CHAMPLIN PARK HIGH SCHOOL,0011-01-192,2012,631,566,424,,104,16%,25%,
Anoka-Hennepin Public School District,COON RAPIDS HIGH SCHOOL,0011-01-002,2006,507,413,332,,117,23%,35%,
Anoka-Hennepin Public School District,COON RAPIDS HIGH SCHOOL,0011-01-002,2007,517,423,330,,127,25%,38%,
Anoka-Hennepin Public School District,COON RAPIDS HIGH SCHOOL,0011-01-002,2008,512,437,347,,131,26%,38%,
Anoka-Hennepin Public School District,COON RAPIDS HIGH SCHOOL,0011-01-002,2009,497,418,346,,121,24%,35%,
Anoka-Hennepin Public School District,COON RAPIDS HIGH SCHOOL,0011-01-002,2010,503,441,345,,96,19%,28%,
Anoka-Hennepin Public School District,COON RAPIDS HIGH SCHOOL,0011-01-002,2011,471,414,323,,98,21%,30%,
Anoka-Hennepin Public School District,COON RAPIDS HIGH SCHOOL,0011-01-002,2012,439,380,296,,71,16%,24%,
Anoka-Hennepin Public School District,CROSSROADS-NIGHT,0011-01-111,2006,50,19,13,,fewer than 10,,,
Anoka-Hennepin Public School District,CROSSROADS-NIGHT,0011-01-111,2007,42,18,15,,fewer than 10,,,
Anoka-Hennepin Public School District,CROSSROADS-NIGHT,0011-01-111,2008,44,22,16,,fewer than 10,,,
Anoka-Hennepin Public School District,CROSSROADS-NIGHT,0011-01-111,2009,47,25,17,,fewer than 10,,,
Anoka-Hennepin Public School District,CROSSROADS-NIGHT,0011-01-111,2010,43,22,17,,12,28%,71%,
Anoka-Hennepin Public School District,CROSSROADS-NIGHT,0011-01-111,2011,33,13,10,,fewer than 10,,,
Anoka-Hennepin Public School District,TRANSITION PLUS,0011-01-468,2006,99,14,14,,fewer than 10,,,
Anoka-Hennepin Public School District,TRANSITION PLUS,0011-01-468,2007,77,16,16,,fewer than 10,,,
Anoka-Hennepin Public School District,TRANSITION PLUS,0011-01-468,2008,69,fewer than 10,fewer than 10,,fewer than 10,,,
Anoka-Hennepin Public School District,TRANSITION PLUS,0011-01-468,2009,85,17,17,,fewer than 10,,,
Anoka-Hennepin Public School District,TRANSITION PLUS,0011-01-468,2010,99,16,16,,fewer than 10,,,
Anoka-Hennepin Public School District,TRANSITION PLUS,0011-01-468,2011,95,16,16,,fewer than 10,,,
Anoka-Hennepin Public School District,TRANSITION PLUS,0011-01-468,2012,83,fewer than 10,fewer than 10,,fewer than 10,,,
Anoka-Hennepin Public School District,UNIVERSITY CREEK AREA LEARNING CNTR,0011-01-469,2006,22,fewer than 10,fewer than 10,,fewer than 10,,,
Arcadia Charter School,ARCADIA CHARTER SCHOOL,4091-07-010,2006,17,13,fewer than 10,,fewer than 10,,,
Arcadia Charter School,ARCADIA CHARTER SCHOOL,4091-07-010,2007,20,15,13,,fewer than 10,,,
Arcadia Charter School,ARCADIA CHARTER SCHOOL,4091-07-010,2008,23,15,13,,fewer than 10,,,
Arcadia Charter School,ARCADIA CHARTER SCHOOL,4091-07-010,2009,11,fewer than 10,fewer than 10,,fewer than 10,,,
Arcadia Charter School,ARCADIA CHARTER SCHOOL,4091-07-010,2010,11,fewer than 10,fewer than 10,,fewer than 10,,,
Arcadia Charter School,ARCADIA CHARTER SCHOOL,4091-07-010,2011,18,fewer than 10,fewer than 10,,fewer than 10,,,
Arcadia Charter School,ARCADIA CHARTER SCHOOL,4091-07-010,2012,13,fewer than 10,fewer than 10,,fewer than 10,,,
Ashby Public School District,ASHBY SECONDARY,0261-01-020,2006,25,21,11,,fewer than 10,,,
Ashby Public School District,ASHBY SECONDARY,0261-01-020,2007,28,25,19,,fewer than 10,,,
Ashby Public School District,ASHBY SECONDARY,0261-01-020,2008,24,18,15,,fewer than 10,,,
Ashby Public School District,ASHBY SECONDARY,0261-01-020,2009,19,17,13,,fewer than 10,,,
Ashby Public School District,ASHBY SECONDARY,0261-01-020,2010,26,20,15,,fewer than 10,,,
Ashby Public School District,ASHBY SECONDARY,0261-01-020,2011,22,17,13,,fewer than 10,,,
Ashby Public School District,ASHBY SECONDARY,0261-01-020,2012,15,10,fewer than 10,,fewer than 10,,,
Austin Public School District,AUSTIN AREA LEARNING CENTER,0492-01-150,2006,27,fewer than 10,fewer than 10,,fewer than 10,,,
Austin Public School District,AUSTIN AREA LEARNING CENTER,0492-01-150,2007,28,fewer than 10,fewer than 10,,fewer than 10,,,
Austin Public School District,AUSTIN AREA LEARNING CENTER,0492-01-150,2008,24,11,11,,fewer than 10,,,
Austin Public School District,AUSTIN AREA LEARNING CENTER,0492-01-150,2009,32,fewer than 10,fewer than 10,,fewer than 10,,,
Austin Public School District,AUSTIN AREA LEARNING CENTER,0492-01-150,2010,35,11,11,,fewer than 10,,,
Austin Public School District,AUSTIN AREA LEARNING CENTER,0492-01-150,2011,30,fewer than 10,fewer than 10,,fewer than 10,,,
Austin Public School District,AUSTIN AREA LEARNING CENTER,0492-01-150,2012,36,fewer than 10,fewer than 10,,fewer than 10,,,
Austin Public School District,AUSTIN SENIOR HIGH,0492-01-200,2006,263,211,155,,45,17%,29%,
Austin Public School District,AUSTIN SENIOR HIGH,0492-01-200,2007,241,191,145,,42,17%,29%,
Austin Public School District,AUSTIN SENIOR HIGH,0492-01-200,2008,217,167,119,,37,17%,31%,
Austin Public School District,AUSTIN SENIOR HIGH,0492-01-200,2009,263,198,154,,38,14%,25%,
Austin Public School District,AUSTIN SENIOR HIGH,0492-01-200,2010,267,222,184,,59,22%,32%,
Austin Public School District,AUSTIN SENIOR HIGH,0492-01-200,2011,238,186,140,,52,22%,37%,
Austin Public School District,AUSTIN SENIOR HIGH,0492-01-200,2012,240,187,145,,42,18%,29%,
Avalon School,AVALON SCHOOL,4075-07-010,2006,29,23,13,,fewer than 10,,,
Avalon School,AVALON SCHOOL,4075-07-010,2007,25,16,11,,fewer than 10,,,
Avalon School,AVALON SCHOOL,4075-07-010,2008,25,19,11,,fewer than 10,,,
Avalon School,AVALON SCHOOL,4075-07-010,2009,25,21,16,,fewer than 10,,,
Avalon School,AVALON SCHOOL,4075-07-010,2010,32,18,14,,fewer than 10,,,
Avalon School,AVALON SCHOOL,4075-07-010,2011,25,17,fewer than 10,,fewer than 10,,,
Avalon School,AVALON SCHOOL,4075-07-010,2012,38,31,17,,fewer than 10,,,
Bagley Public School District,BAGLEY SECONDARY,0162-01-020,2006,75,50,39,,11,15%,28%,
Bagley Public School District,BAGLEY SECONDARY,0162-01-020,2007,56,42,31,,fewer than 10,,,
Bagley Public School District,BAGLEY SECONDARY,0162-01-020,2008,75,48,30,,fewer than 10,,,
Bagley Public School District,BAGLEY SECONDARY,0162-01-020,2009,73,45,35,,11,15%,31%,
Bagley Public School District,BAGLEY SECONDARY,0162-01-020,2010,50,36,30,,15,30%,50%,
Bagley Public School District,BAGLEY SECONDARY,0162-01-020,2011,78,52,44,,12,15%,27%,
Bagley Public School District,BAGLEY SECONDARY,0162-01-020,2012,60,28,20,,fewer than 10,,,
Barnesville Public School District,BARNESVILLE SECONDARY,0146-01-040,2006,41,33,24,,fewer than 10,,,
Barnesville Public School District,BARNESVILLE SECONDARY,0146-01-040,2007,53,44,27,,fewer than 10,,,
Barnesville Public School District,BARNESVILLE SECONDARY,0146-01-040,2008,65,52,33,,11,17%,33%,
Barnesville Public School District,BARNESVILLE SECONDARY,0146-01-040,2009,51,38,18,,fewer than 10,,,
Barnesville Public School District,BARNESVILLE SECONDARY,0146-01-040,2010,48,35,14,,fewer than 10,,,
Barnesville Public School District,BARNESVILLE SECONDARY,0146-01-040,2011,61,47,19,,fewer than 10,,,
Barnesville Public School District,BARNESVILLE SECONDARY,0146-01-040,2012,47,37,20,,fewer than 10,,,
Barnum Public School District,BARNUM SECONDARY,0091-01-002,2006,48,34,29,,11,23%,38%,
Barnum Public School District,BARNUM SECONDARY,0091-01-002,2007,50,24,21,,fewer than 10,,,
Barnum Public School District,BARNUM SECONDARY,0091-01-002,2008,54,26,25,,fewer than 10,,,
Barnum Public School District,BARNUM SECONDARY,0091-01-002,2009,57,35,31,,10,18%,32%,
Barnum Public School District,BARNUM SECONDARY,0091-01-002,2010,54,40,33,,fewer than 10,,,
Barnum Public School District,BARNUM SECONDARY,0091-01-002,2011,44,33,28,,11,25%,39%,
Barnum Public School District,BARNUM SECONDARY,0091-01-002,2012,45,38,32,,fewer than 10,,,
Battle Lake Public School District,BATTLE LAKE SECONDARY,0542-01-020,2006,46,40,33,,12,26%,36%,
Battle Lake Public School District,BATTLE LAKE SECONDARY,0542-01-020,2007,43,33,23,,fewer than 10,,,
Battle Lake Public School District,BATTLE LAKE SECONDARY,0542-01-020,2008,52,47,32,,11,21%,34%,
Battle Lake Public School District,BATTLE LAKE SECONDARY,0542-01-020,2009,36,32,21,,fewer than 10,,,
Battle Lake Public School District,BATTLE LAKE SECONDARY,0542-01-020,2010,48,39,23,,fewer than 10,,,
Battle Lake Public School District,BATTLE LAKE SECONDARY,0542-01-020,2011,45,30,26,,fewer than 10,,,
Battle Lake Public School District,BATTLE LAKE SECONDARY,0542-01-020,2012,37,33,26,,fewer than 10,,,
Becker Public School District,BECKER SENIOR HIGH,0726-01-020,2006,136,101,74,,11,8%,15%,
Becker Public School District,BECKER SENIOR HIGH,0726-01-020,2007,156,126,93,,19,12%,20%,
Becker Public School District,BECKER SENIOR HIGH,0726-01-020,2008,170,138,101,,22,13%,22%,
Becker Public School District,BECKER SENIOR HIGH,0726-01-020,2009,192,153,107,,15,8%,14%,
Becker Public School District,BECKER SENIOR HIGH,0726-01-020,2010,165,128,100,,22,13%,22%,
Becker Public School District,BECKER SENIOR HIGH,0726-01-020,2011,182,138,111,,20,11%,18%,
Becker Public School District,BECKER SENIOR HIGH,0726-01-020,2012,182,141,119,,12,7%,10%,
Belgrade-Brooten-Elrosa Public School District,BELGRADE-BROOTEN-ELROSA SEC.,2364-01-002,2006,56,46,38,,11,20%,29%,
Belgrade-Brooten-Elrosa Public School District,BELGRADE-BROOTEN-ELROSA SEC.,2364-01-002,2007,47,36,25,,fewer than 10,,,
Belgrade-Brooten-Elrosa Public School District,BELGRADE-BROOTEN-ELROSA SEC.,2364-01-002,2008,63,52,41,,11,17%,27%,
Belgrade-Brooten-Elrosa Public School District,BELGRADE-BROOTEN-ELROSA SEC.,2364-01-002,2009,60,51,45,,fewer than 10,,,
Belgrade-Brooten-Elrosa Public School District,BELGRADE-BROOTEN-ELROSA SEC.,2364-01-002,2010,57,40,29,,fewer than 10,,,
Belgrade-Brooten-Elrosa Public School District,BELGRADE-BROOTEN-ELROSA SEC.,2364-01-002,2011,53,41,31,,13,25%,42%,
Belgrade-Brooten-Elrosa Public School District,BELGRADE-BROOTEN-ELROSA SEC.,2364-01-002,2012,58,37,28,,fewer than 10,,,
Belle Plaine Public School District,BELLE PLAINE SENIOR HIGH,0716-01-020,2006,94,74,63,,20,21%,32%,
Belle Plaine Public School District,BELLE PLAINE SENIOR HIGH,0716-01-020,2007,118,95,77,,22,19%,29%,
Belle Plaine Public School District,BELLE PLAINE SENIOR HIGH,0716-01-020,2008,102,78,59,,fewer than 10,,,
Belle Plaine Public School District,BELLE PLAINE SENIOR HIGH,0716-01-020,2009,115,91,82,,17,15%,21%,
Belle Plaine Public School District,BELLE PLAINE SENIOR HIGH,0716-01-020,2010,100,85,71,,25,25%,35%,
Belle Plaine Public School District,BELLE PLAINE SENIOR HIGH,0716-01-020,2011,99,79,59,,24,24%,41%,
Belle Plaine Public School District,BELLE PLAINE SENIOR HIGH,0716-01-020,2012,104,75,53,,12,12%,23%,
Bemidji Public School District,BEMIDJI AREA LEARNING CENTER,0031-01-170,2006,29,11,11,,fewer than 10,,,
Bemidji Public School District,BEMIDJI AREA LEARNING CENTER,0031-01-170,2007,21,fewer than 10,fewer than 10,,fewer than 10,,,
Bemidji Public School District,BEMIDJI AREA LEARNING CENTER,0031-01-170,2008,32,fewer than 10,fewer than 10,,fewer than 10,,,
Bemidji Public School District,BEMIDJI AREA LEARNING CENTER,0031-01-170,2009,34,10,10,,fewer than 10,,,
Bemidji Public School District,BEMIDJI AREA LEARNING CENTER,0031-01-170,2010,19,fewer than 10,fewer than 10,,fewer than 10,,,
Bemidji Public School District,BEMIDJI AREA LEARNING CENTER,0031-01-170,2011,26,fewer than 10,fewer than 10,,fewer than 10,,,
Bemidji Public School District,BEMIDJI AREA LEARNING CENTER,0031-01-170,2012,30,fewer than 10,fewer than 10,,fewer than 10,,,
Bemidji Public School District,BEMIDJI SENIOR HIGH,0031-01-020,2006,309,235,172,,33,11%,19%,
Bemidji Public School District,BEMIDJI SENIOR HIGH,0031-01-020,2007,291,222,178,,32,11%,18%,
Bemidji Public School District,BEMIDJI SENIOR HIGH,0031-01-020,2008,318,229,165,,30,9%,18%,
Bemidji Public School District,BEMIDJI SENIOR HIGH,0031-01-020,2009,291,226,158,,22,8%,14%,
Bemidji Public School District,BEMIDJI SENIOR HIGH,0031-01-020,2010,283,215,178,,30,11%,17%,
Bemidji Public School District,BEMIDJI SENIOR HIGH,0031-01-020,2011,263,187,153,,22,8%,14%,
Bemidji Public School District,BEMIDJI SENIOR HIGH,0031-01-020,2012,268,205,141,,13,5%,9%,
Benson Public School District,BENSON SECONDARY,0777-01-101,2006,82,71,58,,fewer than 10,,,
Benson Public School District,BENSON SECONDARY,0777-01-101,2007,73,60,48,,12,16%,25%,
Benson Public School District,BENSON SECONDARY,0777-01-101,2008,77,57,41,,fewer than 10,,,
Benson Public School District,BENSON SECONDARY,0777-01-101,2009,81,65,48,,12,15%,25%,
Benson Public School District,BENSON SECONDARY,0777-01-101,2010,63,53,36,,13,21%,36%,
Benson Public School District,BENSON SECONDARY,0777-01-101,2011,92,73,63,,19,21%,30%,
